Wavelength,AKL,QDL,,,OFFSET:,Wavelength,Mit QDL,D QDL,,PHI Ref,D REF,Referenz,,Korrekturfaktoren
684,1.555514,7.105919,,,,,,,,,,,,
685,1.539054,6.971951,,,,,,,,,,,,
686,1.521284,6.856223,,,,,,,,,,,,
687,1.508485,6.687102,,,,,,,,,,,,
688,1.492145,6.505919,,,,,,,,,,,,
689,1.475224,6.367101,,,,,,,,,,,,
690,1.461357,6.223495,,,,,,,,,,,,
691,1.44206,6.082254,,,,,,,,,,,,
692,1.427272,5.941071,,,,,,,,,,,,
693,1.413357,5.819224,,,,,,,,,,,,
694,1.392,5.727102,,,,,,,,,,,,
695,1.379151,5.628344,,,,,,,,,,,,
696,1.36543,5.500435,,,,,,,,,,,,
697,1.348532,5.333797,,,,,,,,,,,,
698,1.329163,5.146496,,,,,,,,,,,,
699,1.316702,5.027131,,,,,,,,,,,,
700,1.299563,4.88589,,,,,,,,,,,,
701,1.290448,4.821071,,,,,,,,,,,,
702,1.28177,4.688314,,,,,,,,,,,,
703,1.269866,4.584707,,,,,,,,,,,,
704,1.259394,4.399829,,,,,,,,,,,,
705,1.250811,4.280465,,,,,,,,,,,,
706,1.233745,4.132586,,,,,,,,,,,,
707,1.220775,4.056799,,,,,,,,,,,,
708,1.208048,3.914404,,,,,,,,,,,,
709,1.192897,3.76589,,,,,,,,,,,,
710,1.185017,3.667131,,,,,,,,,,,,
711,1.175103,3.562254,,,,,,,,,,,,
712,1.170569,3.487737,,,,,,,,,,,,
713,1.164,3.442253,,,,,,,,,,,,
714,1.159272,3.353192,,,,,,,,,,,,
715,1.153357,3.30286,,,,,,,,,,,,
716,1.142739,3.130738,,,,,,,,,,,,
717,1.133866,3.017435,,,,,,,,,,,,
718,1.115176,2.888314,,,,,,,,,,,,
719,1.102932,2.773798,,,,,,,,,,,,
720,1.093794,2.727102,,,,,,,,,,,,
721,1.08286,2.645313,,,,,,,,,,,,
722,1.07663,2.511344,,,,,,,,,,,,
723,1.06332,2.410162,,,,,,,,,,,,
724,1.051078,2.251374,,,,,,,,,,,,
725,1.042109,2.170738,,,,,,,,,,,,
726,1.034448,2.103495,,,,,,,,,,,,
727,1.027879,1.996193,,,,,,,,,,,,
728,1.022714,1.961677,,,,,,,,,,,,
729,1.016945,1.884678,,,,,,,,,,,,
730,1.013454,1.833192,,,,,,,,,,,,
731,1.010472,1.74286,,,,,,,,,,,,
732,1.009842,1.618011,,,,,,,,,,,,
733,1.003854,1.56895,,,,,,,,,,,,
734,0.998909,1.500436,,,,,,,,,,,,
735,0.992605,1.423495,,,,,,,,,,,,
736,0.987588,1.352557,,,,,,,,,,,,
737,0.984169,1.239253,,,,,,,,,,,,
738,0.978618,1.194981,,,,,,,,,,,,
739,0.97229,1.116828,,,,,,,,,,,,
740,0.965551,1.087737,,,,,,,,,,,,
741,0.960654,1.066496,,,,,,,,,,,,
742,0.956484,1.047737,,,,,,,,,,,,
743,0.950885,1.015587,,,,,,,,,,,,
744,0.941017,0.985919,,,,,,,,,,,,
745,0.933212,0.954981,,,,,,,,,,,,
746,0.921139,0.856799,,,,,,,,,,,,
747,0.912678,0.834404,,,,,,,,,,,,
748,0.902278,0.825284,,,,,,,,,,,,
749,0.894641,0.813798,,,,,,,,,,,,
750,0.888169,0.774375,,,,,,,,,,,,
751,0.881187,0.730162,,,,,,,,,,,,
752,0.875757,0.667708,,,,,,,,,,,,
753,0.868557,0.670132,,,,,,,,,,,,
754,0.868435,0.662283,,,,,,,,,,,,
755,0.867491,0.660435,,,,,,,,,,,,
756,0.869478,0.652586,,,,,,,,,,,,
757,0.869285,0.615587,,,,,,,,,,,,
758,0.868872,0.647737,,,,,,,,,,,,
759,0.870302,0.657434,,,,,,,,,,,,
760,0.874254,0.674981,,,,,,,,,,,,
761,0.878447,0.663495,,,,,,,,,,,,
762,0.883903,0.659223,,,,,,,,,,,,
763,0.88926,0.687737,,,,,,,,,,,,
764,0.888629,0.71198,,,,,,,,,,,,
765,0.889018,0.712557,,,,,,,,,,,,
766,0.887708,0.692586,,,,,,,,,,,,
767,0.882085,0.693163,,,,,,,,,,,,
768,0.876145,0.673192,,,,,,,,,,,,
769,0.865066,0.653162,,,,,,,,,,,,
770,0.847709,0.569526,,,,,,,,,,,,
771,0.83229,0.530161,,,,,,,,,,,,
772,0.817018,0.529526,,,,,,,,,,,,
773,0.806108,0.589556,,,,,,,,,,,,
774,0.798036,0.602254,,,,,,,,,,,,
775,0.781527,0.578011,,,,,,,,,,,,
776,0.768823,0.554404,,,,,,,,,,,,
777,0.753866,0.54892,,,,,,,,,,,,
778,0.737454,0.526525,,,,,,,,,,,,
